Class,Sub Class,Order,Sub Order,Occupations,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Males,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Females
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Watches and Clocks and Scientific Instruments,Scientific-instrument maker,,,1,1,,,,,2,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Watches and Clocks and Scientific Instruments,Optician,,,1,1,3,2,3,,10,,,,1,,,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Watches and Clocks and Scientific Instruments,Sub-order 8. Surgical Instruments and Appliances:—,,,,,,,,,,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Watches and Clocks and Scientific Instruments,Surgical-instrument maker,,,,,1,,,,1,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Watches and Clocks and Scientific Instruments,"Surgical-appliance, truss, bandage maker",,,1,,2,,,,3,,,,1,,1,,,2
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Arms and Explosives,"Armourer, gunsmith, and assistant",,2,2,7,6,20,4,,41,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Arms and Explosives,Powder and other explosive-compound maker,,,,,2,,,,2,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Arms and Explosives,"Fuse, cartridge maker",,,1,1,,,,,2,,2,4,2,3,1,,,12
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Machines, Tools, and Implements","Mechanical engineer, fitter, iron-turner, boilermaker, apprentice, assistant",,23,281,246,635,300,28,1,"1,514",,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Machines, Tools, and Implements",Millwright,,,4,,26,38,7,,75,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Machines, Tools, and Implements","Agricultural machinery and implement maker, and assistant",,2,8,3,14,8,,,35,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Machines, Tools, and Implements",Sewing-machine maker,,,,,1,,,,1,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Machines, Tools, and Implements","Cutlery, tool maker",,,1,,9,4,3,,17,,,1,,,,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Machines, Tools, and Implements","Gas, water, meter maker",,,,,3,,1,,4,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Machines, Tools, and Implements",Others,,7,13,10,18,14,4,,66,,,3,,,,,,3
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Carriages and Vehicles,"Railway-carriage, waggon, trolly, builder, maker",,2,8,4,45,11,,,70,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Carriages and Vehicles,"Road-carriage, coach-builder, and assistant",,15,167,159,284,115,10,,750,,,,,1,,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Carriages and Vehicles,"Bicycle, perambulator, wheel-chair maker, and apprentice",,2,6,2,8,4,1,,23,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Carriages and Vehicles,Wheelwright and assistant,,6,53,54,128,81,16,1,339,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Carriages and Vehicles,Others,,,2,1,,,,,3,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Harness, Saddlery, Leather, and Leatherware",Saddlery and harness maker and assistant,,44,247,188,371,138,17,,"1,005",,1,4,,,,,,5
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Harness, Saddlery, Leather, and Leatherware","Leather-belt, whip, satchel maker",,,3,1,4,1,,,9,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Harness, Saddlery, Leather, and Leatherware","Leather cutter, designer",,,,,3,,,,3,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Harness, Saddlery, Leather, and Leatherware",Portmanteau-maker,,,5,1,2,1,,,9,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Harness, Saddlery, Leather, and Leatherware","Leather tanner, currier, manufacturer, assistant, and apprentice",,6,77,64,185,68,4,,404,,,,,,1,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Harness, Saddlery, Leather, and Leatherware",Others,,,1,,1,,,,2,,,1,,,,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ships, Boats, and their Equipment","Shipwright, boatbuilder, designer, worker, apprentice",,5,25,36,188,220,44,,518,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ships, Boats, and their Equipment",Ship-rigger,,,1,,1,1,,,3,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ships, Boats, and their Equipment","Block, oar, mast maker",,,,1,4,2,2,,9,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ships, Boats, and their Equipment",Sailmaker and assistant,,10,20,16,61,55,5,,167,,,3,1,,,,,4
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Furniture,"Cabinet, furniture maker, and apprentice",,18,217,154,360,196,41,1,987,,,,,3,,,,3
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Furniture,"Bed, mattress maker, upholsterer, and assistant",,6,31,45,81,29,2,,194,,1,5,9,12,4,,,31
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Furniture,"Undertaker, coffin-maker",,,1,4,14,10,5,,34,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Furniture,Others,,6,10,11,17,11,2,,57,,1,5,3,1,2,,,12
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Chemicals and By-products,Manufacturing chemist,,,3,1,12,4,,,20,,1,3,,,,,,4
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Chemicals and By-products,"Ink, blacking maker",,,,,3,3,,,6,,,1,,,,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Chemicals and By-products,"Salt, soda, alkali, starch, blue maker",,,2,1,1,,,,4,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Chemicals and By-products,Chemical-manure maker,,,1,,6,5,,,12,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Chemicals and By-products,Others,,,1,4,6,7,1,,19,,,,,1,,,,1
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Textile Fabrics,"Woollen manufacturer, weaver, spinner, and other workers (all branches)",,41,210,126,,133,21,,842,,26,200,135,86,12,,,459
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Textile Fabrics,"Silk manufacturer, spinner, and other workers (all branches)",,,,,,1,,,1,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Textile Fabrics,"Dyer, scourer, calenderer",,,7,5,31,11,1,,55,,,,2,,1,,,
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Textile Fabrics,Others,,,,,,,,,,,,4,,1,,,,5
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Clothing manufacturer, tailor, cutter, fitter, sewing-machinist",,55,413,257,533,363,82,1,"1,704",,93,"1,126",879,390,56,6,,"2,550"
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Milliner, dressmaker",,,1,,10,,,,11,,205,"2,419","1,994","1,582",367,34,1,"6,602"
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Shirtmaker, seamstress",,,3,1,3,6,,,13,,12,91,58,133,95,22,,411
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Hatter, cap, bonnet maker",,2,17,9,17,10,1,,56,,3,30,18,15,4,1,,71
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Sock, stocking maker, knitter",,2,3,1,12,6,3,,27,,10,71,29,22,9,2,,143
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Furrier, rug-maker",,,,,,,,,,,,3,,2,1,,,6
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Boot, shoe, manufacturer, maker, cutter, clicker, repairer, sewing-machinist",,111,724,577,"1,236",740,116,1,"3,505",,42,191,118,52,7,1,,411
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Umbrella, fan, parasol, maker, mender",,4,6,4,10,6,1,,31,,,1,,7,1,,,9
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,"Feather-dresser, glove-cleaner",,,,,2,,,,2,,,1,3,4,,2,,10
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Dress,Others,,1,2,1,1,5,1,,11,,2,14,9,2,4,,,31
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Fibrous Materials,"Mat, matting maker",,,,,,3,,,3,,,,,,1,,,1
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Fibrous Materials,"Rope, cord maker, and assistant",,31,46,18,28,32,4,,159,,,1,,,,,,1
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Fibrous Materials,"Canvas, sailcloth maker",,,,,,2,,,2,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Fibrous Materials,"Tent, tarpaulin maker",,,2,2,9,11,3,,27,,,2,1,,,,,3
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Fibrous Materials,"Bag, sack, sacking maker",,,1,,,3,,,4,,,3,1,2,,,,6
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Fibrous Materials,"Phormium, flax miller, owner, and all workers",,184,623,445,686,217,16,,"2,171",,,,,2,1,,,3
Industrial,,"Persons engaged in connection with the Manufacture of, or in Repairs, Cleansing, or other Processes relating to, Textile Fabrics, Dress, and Fibrous Materials.",Fibrous Materials,Others,,4,29,8,23,8,2,,74,,1,8,2,3,,,,14
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Animal Food,"Slaughterhouse-keeper, slaughterman, son assisting",,1,24,41,84,19,,,169,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Animal Food,"Meat-preserver, sausage-maker, ham-curer, and assistant",,8,39,34,83,26,,,190,,,2,,1,,,,3
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Animal Food,Fish-curer and assistant,,4,11,7,21,14,,,57,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Animal Food,"Cheese, butter maker, milk-preserver, and assistant",,4,26,26,49,15,1,,121,,,3,6,3,3,,,15
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Animal Food,Animal-food refrigerator and assistant,,5,30,71,231,35,3,3,373,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Animal Food,Others,,,,3,,,,,3,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Vegetable Food,"Miller, meal, flour worker, and assistant",,5,66,69,183,121,11,,455,,2,1,,,2,,,5
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Vegetable Food,"Baker, biscuit, pastry maker, and assistant",,82,379,319,675,340,46,5,"1,846",,8,15,11,17,5,2,1,59
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Vegetable Food,"Fruit-preserver, jam-maker, and assistant",,3,12,5,7,7,,,34,,6,4,4,,1,1,,16
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Vegetable Food,Confectionery-maker and assistant,,12,21,9,22,12,,,76,,1,1,1,1,,,,4
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Vegetable Food,"Sugar-mill owner, refiner, and assistant",,9,20,10,40,6,,,85,,2,,,,,,,2
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.",Vegetable Food,Others,,1,1,1,1,,,,4,,,1,,,,,,1
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Brewer, bottler, and others engaged in connection with brewing",,5,46,54,186,130,9,,430,,,,,,,,,2
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Maltster, son assisting",,1,11,14,42,35,2,,105,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Distiller and rectifier of spirits, bottler",,,,,1,1,,,2,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Wine-manufacturer (not grower), bottler",,1,,,2,5,3,,11,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Ginger-beer, soda-water, cordial manufacturer, and assistant",,8,43,41,89,65,4,,250,,,,,8,,,,8
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Coffee, chicory roaster",,2,1,1,6,2,,,12,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Tea mixer, taster",,1,6,4,8,1,,,20,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Tobacco, cigar, cigarette, snuff manufacturer",,4,3,2,7,2,1,,19,,2,12,7,,,,,21
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Spice, mustard, pepper maker",,,,,,2,,,2,,,,,,,,,
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Pickles, sauce, vinegar maker",,3,2,,6,6,,,17,,4,10,1,,1,,,16
Industrial,,"Persons engaged in connection with the Manufacture of or in other Processes relating to Food, Drink, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants",Others,,1,,2,3,6,1,,13,,1,,,,1,,,2
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Animal Matters (not otherwise classed),Soap-boiler and assistant,,9,22,17,30,19,3,,100,,,2,,2,,,,4
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Animal Matters (not otherwise classed),"Tallow-melter, boiler-down (not meat-preserver)",,,1,3,10,6,,,20,,,,,1,,,,1
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Animal Matters (not otherwise classed),Fellmonger and assistant,,14,93,79,146,65,4,1,402,,,,,1,,,,1
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Animal Matters (not otherwise classed),Bonedust-manure manufacturer,,1,1,2,10,4,,,18,,,,,,,,,
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Animal Matters (not otherwise classed),Others,,,5,10,31,3,,,49,,4,7,,,,,,11
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Working in Wood,"Firewood, billet chopper",,14,31,19,72,70,8,1,215,,,,,,,,,
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Working in Wood,"Fencer, hurdle-maker",,2,16,15,130,59,1,14,237,,,,,,,,,
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Working in Wood,"Bark-mill owner, worker",,,1,1,1,,,,3,,,,,,,,,
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Working in Wood,"Cooper, relative assisting",,6,31,38,68,60,16,,219,,,,,,,,,
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Working in Wood,"Sawmill owner, sawyer, and assistant",,51,278,327,"1,016",406,25,5,"2,108",,,,,,2,,,2
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Working in Wood,Others,,4,8,19,17,12,1,,61,,,1,,,,,,1
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Workers in Vegetable Produce for Fodder,"Chaffcutter, relative assisting",,6,11,14,22,10,,,63,,,,,,,,,
Industrial,,"Persons, not otherwise classed, engaged in Manufactures or other Processes connected with Animal and Vegetable Substances.",Paper Manufacturers,"Paper maker, labourer, and assistant",,4,8,4,9,2,1,,28,,4,10,3,1,,2,,20
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","In the Conversion of Coal and other Substances to Purposes of Heat, Light, or Forms of Energy not otherwise classed","Gasworks service, officer, clerk, workman, fitter",,,12,18,95,63,3,,191,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","In the Conversion of Coal and other Substances to Purposes of Heat, Light, or Forms of Energy not otherwise classed",Coke manufacturer,,,1,1,6,1,1,,10,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","In the Conversion of Coal and other Substances to Purposes of Heat, Light, or Forms of Energy not otherwise classed","Electric light or energy producer, officer, clerk",,,2,9,20,5,,,36,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","In the Conversion of Coal and other Substances to Purposes of Heat, Light, or Forms of Energy not otherwise classed",Charcoal-burner,,,2,,5,6,3,,16,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","In the Conversion of Coal and other Substances to Purposes of Heat, Light, or Forms of Energy not otherwise classed",Others,,,,1,,1,,,2,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Stone cutter, dresser, monumental mason (not engaged in houses or buildings)",,1,8,10,15,18,1,,53,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Lime-burner, relative assisting",,2,10,5,25,5,3,,50,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Plaster, cement-maker",,,2,3,6,7,,,18,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Brick, tile maker, relative assisting",,20,77,60,152,116,24,,449,,,,,,1,,,1
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed",Pottery-maker and assistant,,4,24,10,36,19,,,93,,2,5,,2,1,,,10
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Glass worker, manufacturer",,,3,,1,2,,,6,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","China, earthenware maker, mender",,,1,,2,4,,,7,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Asphalte and pitch manufacturer, relative assisting",,1,,1,12,10,2,,26,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Manufactures and Processes related to Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed",Others,,,,,1,1,,,2,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Gold, Silver, and Precious Stones","Goldsmith, silversmith, jeweller, and assistant",,5,50,41,71,37,5,,209,,,,3,3,1,,,7
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Gold, Silver, and Precious Stones","Lapidary, precious-stones worker",,1,3,1,4,2,,,11,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Gold, Silver, and Precious Stones","Electro-plater, plater",,,1,3,,1,1,,6,,,,,1,1,,,2
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.","Gold, Silver, and Precious Stones",Others,,,,1,,,,,1,,,1,,,,,,1
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,"Copper smith, worker, apprentice",,2,13,12,14,8,,,49,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,"Tin, zinc worker",,25,132,106,149,57,3,,472,,,,1,1,,,,2
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,"Lead, antimony worker",,,,,,2,,,2,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,"Malleable-iron manufacturer, worker, roller, smelter, puddler",,6,35,16,48,24,1,,130,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,"Cast-iron founder, moulder, worker, apprentice",,17,165,108,143,60,8,,501,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,"Blacksmith, farrier, whitesmith, and apprentice",,71,729,604,"1,237",521,66,6,"3,234",,,,,1,1,,,2
